,Date,Action,Company,Target,Broker,Company Symbol,Price at Announcement,Updated Price
1,"March 05, 2021",Buy,Wipro,474, Prabhudas Lilladher,WIPRO.NS,420.8500061035156,420.8500061035156
2,"March 05, 2021",Hold,Wipro,450, Emkay Global Financial,WIPRO.NS,420.8500061035156,420.8500061035156
3,"March 05, 2021",Neutral,Wipro,450, Motilal Oswal,WIPRO.NS,420.8500061035156,420.8500061035156
4,"March 05, 2021",Buy,Endurance Technologies,1750, Motilal Oswal,ENDURANCE.NS,1405.0999755859375,1405.0999755859375
7,"March 05, 2021",Buy,Wipro,474, Prabhudas Lilladher,WIPRO.NS,420.8500061035156,420.8500061035156
8,"March 05, 2021",Hold,Wipro,450, Emkay Global Financial,WIPRO.NS,420.8500061035156,420.8500061035156
9,"March 05, 2021",Neutral,Wipro,450, Motilal Oswal,WIPRO.NS,420.8500061035156,420.8500061035156
10,"March 05, 2021",Buy,Endurance Technologies,1750, Motilal Oswal,ENDURANCE.NS,1405.0999755859375,1405.0999755859375
12,"March 04, 2021",Buy,Huhtamaki India,360, ICICI Direct,HUHTAMAKI.NS,286.79998779296875,286.79998779296875
13,"March 04, 2021",Buy,Voltas,1260, Dolat Capital Market,VOLTAS.NS,1072.5,1072.5
15,"March 04, 2021",Buy,CSB Bank,320, Dolat Capital Market,CSBBANK.NS,236.6999969482422,236.6999969482422
17,"March 03, 2021",Buy,Firstsource Solutions,125, Emkay Global Financial,FSL.NS,101.6500015258789,101.6500015258789
18,"March 03, 2021",Buy,Firstsource Solutions,125, Emkay Global Financial,FSL.NS,101.6500015258789,101.6500015258789
20,"March 02, 2021",Reduce,Amara Raja Batteries,800, ICICI Direct,AMARAJABAT.NS,908.25,908.25
21,"March 02, 2021",Buy,Aditya Birla Fashion and Retail,225, ICICI Direct,ABFRL.NS,206.1499938964844,206.1499938964844
22,"March 02, 2021",Buy,Tata Motors,375, ICICI Direct,TATAMTRDVR.NS,139.89999389648438,139.89999389648438
23,"March 02, 2021",Buy,Bharat Petroleum Corporation,505, Prabhudas Lilladher,BPCL.NS,469.0,469.0
24,"March 02, 2021",Reduce,Tata Motors,255, Prabhudas Lilladher,TATAMTRDVR.NS,139.89999389648438,139.89999389648438
25,"March 02, 2021",Accumulate,Nestle India,"17,364", Prabhudas Lilladher,NESTLEIND.NS,16576.150390625,16576.150390625
26,"March 02, 2021",Buy,Jamna Auto Industries,99, Dolat Capital Market,JAMNAAUTO.NS,68.90000152587889,68.90000152587889
27,"March 02, 2021",Buy,Tata Motors,375, Emkay Global Financial,TATAMTRDVR.NS,139.89999389648438,139.89999389648438
28,"March 02, 2021",Buy,Bharat Petroleum Corporation,495, Emkay Global Financial,BPCL.NS,469.0,469.0
